index,Close,Open,a,b,c,d,e,f,g,h,i
1,1284.91,1276.69,0.56900537,0.5649609,0.5562152,0.46612626,0.46785414,0.5187281,0.6255483,0.25576627,0.6143002
2,1261.52,1285.82,0.5616818,0.5514237,0.5525823,0.48475742,0.47418287,0.50330484,0.61213344,0.27358383,0.59887016
3,1262.9,1262.96,0.5289277,0.48876527,0.50979,0.5312016,0.50743645,0.45889294,0.56159437,0.36655068,0.54105
4,1252.31,1262.9,0.4450718,0.42074865,0.42172593,0.56781083,0.5708365,0.39193505,0.44146112,0.53103083,0.4784134
5,1273.7,1251.84,0.36720216,0.32243153,0.32532868,0.6119414,0.63349384,0.33136648,0.33257827,0.7090817,0.39733034
6,1244.69,1273.38,0.4704127,0.41948444,0.4416697,0.57899725,0.5480407,0.39777616,0.4685875,0.5036056,0.47486317
7,1253.39,1245.25,0.36019906,0.30787262,0.33253348,0.6269697,0.64577883,0.32404166,0.32958692,0.7309026,0.37360904
8,1239.49,1248.66,0.42808875,0.3613588,0.3829866,0.6039732,0.58270085,0.35407117,0.40005657,0.61532545,0.42831492
9,1228.3,1241.61,0.47415543,0.3997395,0.43034795,0.5950848,0.54832804,0.3915079,0.4672231,0.5253076,0.4582061
10,1214.91,1226.83,0.484486,0.41585323,0.4541849,0.58076864,0.53247565,0.39538324,0.47900426,0.4863013,0.4778455
11,1245.36,1214.65,0.30501494,0.20867915,0.24478616,0.6721647,0.67062974,0.2771641,0.24200957,0.8530536,0.28522566
12,1260.32,1246.31,0.21454357,0.14580794,0.1640147,0.71871346,0.74703497,0.22843678,0.15054421,0.94562554,0.1956508
13,1260.68,1258.22,0.22840787,0.1610457,0.19554503,0.7291457,0.7365993,0.25081643,0.18088293,0.9318299,0.1931319
14,1260,1261.82,0.24434146,0.18974128,0.22010072,0.71820015,0.72183776,0.26438048,0.19839446,0.91240233,0.20769209
15,1277,1257.08,0.21433842,0.14976287,0.16047753,0.71932805,0.73027414,0.24808566,0.15287572,0.94178075,0.19670434
16,1282.19,1278.87,0.21201573,0.16254814,0.17411503,0.7364005,0.7138401,0.2633422,0.16913125,0.93575287,0.17843166
17,1252.54,1283.22,0.4732738,0.4159454,0.41760606,0.6119394,0.54512095,0.37030697,0.44578344,0.53723663,0.4445342
18,1257.76,1253.51,0.5078671,0.431707,0.48021132,0.63336056,0.5026077,0.3983959,0.51786244,0.467093,0.41611406
19,1234.37,1257.76,0.8007935,0.6873438,0.7539614,0.5129485,0.28644025,0.5137331,0.80874276,0.07182984,0.73276925
20,1263.2,1236.38,0.37430054,0.3312179,0.33155605,0.6331757,0.60594857,0.33793068,0.33732975,0.7006009,0.3516127
21,1284.26,1264.52,0.23504224,0.23730367,0.24354306,0.7023497,0.6738804,0.30547184,0.22883326,0.87068826,0.20489398
22,1267.38,1281.37,0.44366086,0.41790554,0.44649905,0.64055663,0.51973313,0.3811549,0.45283246,0.527496,0.37795672
23,1260.31,1269.42,0.5859445,0.5406761,0.5549071,0.581523,0.49472854,0.39424574,0.5561975,0.34885687,0.52719337
24,1249.01,1260.16,0.9003654,0.8444052,0.88811606,0.47274336,0.20163597,0.5366432,0.8899857,0.018318322,0.85665435
25,1284.88,1254.87,0.16039862,0.16083749,0.12533842,0.6779629,0.8228129,0.26879287,0.12751229,0.9608989,0.17279753
26,1289.19,1283.99,0.245689,0.2525176,0.24960351,0.6638215,0.6972673,0.30920476,0.253609,0.8604787,0.23718162
27,1266.07,1286.51,0.8877253,0.80099744,0.86244994,0.48094517,0.20243838,0.51838136,0.8654893,0.022905214,0.86297536
28,1296.32,1266.29,0.22387603,0.22166863,0.17606343,0.6275991,0.7457039,0.30362654,0.20642841,0.8905624,0.28300118
29,1305.32,1294.42,0.1326211,0.16493097,0.15449506,0.6738671,0.7980977,0.29135036,0.16172689,0.947954,0.16149089
30,1289.59,1304.79,0.3700632,0.3848985,0.38292107,0.6093662,0.6536511,0.345068,0.36417526,0.6756682,0.37229905
31,1285.83,1288.64,0.798512,0.6765053,0.8014801,0.5302583,0.28761223,0.47532338,0.7730541,0.06658561,0.75734
32,1292.93,1282.11,0.7797514,0.6670693,0.73680025,0.5396842,0.3230649,0.46113488,0.7324233,0.09422598,0.7447159
33,1298.2,1293.85,0.4824703,0.457016,0.4650055,0.59538823,0.59726316,0.37415716,0.4717492,0.51717466,0.46158737
34,1278.6,1298.14,0.97687304,0.908233,0.9663647,0.44707248,0.06761351,0.58180624,0.9471162,0.001648062,0.9539628
35,1266.69,1276.65,0.9898286,0.95086265,0.9901273,0.386314,0.035908412,0.66039747,0.97954994,0.000132053,0.9803817
36,1274.54,1267.34,0.8967439,0.7533643,0.8897698,0.48384118,0.21942472,0.4991384,0.8359845,0.023160769,0.88383424
37,1277.72,1271.07,0.79621965,0.71617913,0.7925049,0.5288218,0.33992797,0.4423384,0.7095272,0.08985255,0.7940312
38,1292.2,1277.59,0.21164472,0.29867703,0.23949069,0.62432295,0.77996826,0.32057157,0.25388622,0.87509614,0.2805027
39,1266.84,1290.47,0.94373643,0.8234133,0.9328968,0.4705603,0.13072324,0.5352005,0.8821598,0.006444893,0.9294527
40,1271.51,1267.03,0.765845,0.6655818,0.7734967,0.544946,0.3911076,0.4213013,0.66639346,0.13911943,0.7484753
41,1281.66,1271.29,0.045885097,0.13313308,0.049471755,0.6676376,0.93347865,0.25229663,0.08889901,0.9917173,0.09387328
42,1300.68,1283.79,0.005294205,0.02395428,0.005519027,0.7203199,0.9805822,0.195671,0.022197204,0.999775,0.01944257
43,1282.83,1296.49,0.049258813,0.10518688,0.054111585,0.6697094,0.904336,0.27426532,0.11102839,0.9878412,0.090961516
44,1277.58,1287.83,0.07553376,0.15205635,0.08043559,0.6240906,0.8812248,0.29704866,0.14636156,0.96712774,0.19868779
45,1274.98,1276.61,0.7740494,0.62726367,0.766837,0.5367113,0.35593665,0.44739243,0.686064,0.10409315,0.78177655
46,1236.83,1271.8,0.9961888,0.96007144,0.99488646,0.3933894,0.014501208,0.6515832,0.9761079,3.42E-05,0.9908003
47,1242.31,1233.21,0.99496126,0.9442492,0.99319434,0.43436068,0.017972115,0.6160884,0.9678711,9.83E-05,0.98126006
48,1267.79,1249.5,0.008490215,0.03189432,0.00759029,0.67971253,0.96644986,0.21688095,0.038251724,0.9992557,0.03783635
49,1224.51,1267.98,0.97973275,0.87995106,0.9711623,0.48524007,0.052846614,0.5363321,0.90725404,0.002044003,0.9559205
50,1232.04,1227.5,0.9219354,0.7616105,0.8933237,0.53678155,0.1668197,0.48395807,0.8057709,0.02655787,0.8605551
51,1249.05,1229.04,0.004999511,0.03349361,0.005765082,0.69582874,0.9788067,0.21445449,0.031736173,0.9995659,0.024248417
52,1251.7,1245.88,0.001034564,0.015400731,0.001491774,0.74365515,0.9958716,0.16822235,0.012815071,0.9999838,0.0065164
53,1192.7,1250.92,0.9760477,0.9209716,0.96094227,0.48771113,0.06277251,0.5470001,0.89255816,0.002097424,0.964526
54,1213.59,1188.31,0.32234773,0.36498302,0.31649676,0.6133913,0.6339644,0.33938617,0.3405308,0.74926263,0.38647148
